BENCHMARKS,Number of Lfence
automotive_bitcount,21
automotive_qsort1,7
automotive_susan_c,21
automotive_susan_e,21
automotive_susan_s,21
bzip2d,100
bzip2e,100
consumer_jpeg_c,394
consumer_jpeg_d,382
consumer_lame,324
consumer_mad,324
consumer_tiff2bw,376
consumer_tiff2rgba,373
consumer_tiffdither,372
consumer_tiffmedian,378
network_dijkstra,7
network_patricia,8
office_ghostscript,73
office_ispell,73
office_rsynth,76
office_stringsearch1,11
security_blowfish_d,9
security_blowfish_e,9
security_pgp_d,9
security_pgp_e,9
security_rijndael_d,9
security_rijndael_e,9
security_sha,10
telecom_adpcm_c,4
telecom_adpcm_d,4
telecom_CRC32,6
telecom_gsm,6
